,id,regionname,prodline,lendinginstr,supplementprojectflg,projectstatusdisplay,project_name,totalamt,borrower,impagency,countryname_mdk,lendinginstrtype_mdk,boardapprovaldate,closingdate,url,idacommamt,ibrdcommamt,lendprojectcost,status,productlinetype,pidrecdbwind,lendinginstrcode,project_abstract
10,P174798,South Asia,PE,Investment Project Financing,N,Active,Fisheries Sector COVID-19 Recovery Project,"150,000,000",INDIA,"Department of Fisheries, Ministry of Fisheries, Animal Husbandry and Dairying, National Fisheries Development Board",82602,639291,2022-06-17T00:00:00Z,6/30/2027 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P174798,0,"150,000,000","689,360,000",Active,L,Y,IPF,
11,P176404,South Asia,PE,Investment Project Financing,N,Active,"RIGHTS: Inclusion, Accessibility and Opportunities for Persons with Disabilities in Tamil Nadu","162,000,000",India,Department for the Welfare of Differently Abled Persons (DfWDAP),82602,639291,2022-06-14T00:00:00Z,6/30/2028 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P176404,0,"162,000,000","232,000,000",Active,L,Y,IPF,
12,P177856,South Asia,PE,Investment Project Financing,N,Active,Rail Logistics Project,"245,000,000",Dedicated Freight Corridor Corporation of India Limited,Dedicated Freight Corridor Corporation of India Limited,82602,639291,2022-06-10T00:00:00Z,6/30/2027 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P177856,0,"245,000,000","590,000,000",Active,L,Y,IPF,
13,P174067,South Asia,PE,Investment Project Financing,N,Active,Public Service Capability Enhancement Project,"47,000,000",India,"Capacity Building Commission, Department of Personnel and Training, Ministry of Personnel, Public Grievances and Pensions, Karmayogi Bharat",82602,639291,2022-04-27T00:00:00Z,3/31/2027 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P174067,0,"47,000,000","115,000,000",Active,L,Y,IPF,
14,P174564,South Asia,PE,Program-for-Results Financing,N,Active,West Bengal Building State Capability for Inclusive Social Protection Operation,"125,000,000",India,"West Bengal Women & Child Development and Social Welfare Department, West Bengal Finance Department",82602,,2022-01-19T00:00:00Z,8/31/2028 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P174564,0,"125,000,000","753,000,000",Active,L,Y,P4R,
15,P176107,South Asia,PE,Investment Project Financing,Y,Active,Additional Financing - Karnataka Urban Water Supply Modernization Project,"150,000,000",India,Karnataka Urban Infrastructure Development & Finance Corporation (KUIDFC),82602,639291,2021-12-21T00:00:00Z,,https://projects.worldbank.org/en/projects-operations/project-detail/P176107,0,"150,000,000","221,850,000",Active,L,Y,IPF,
16,P172187,South Asia,PE,Program-for-Results Financing,N,Active,Rejuvenating Watersheds for Agricultural Resilience through Innovative Development,"115,000,000",India,"Karnataka Department of of Agriculture, Department of Land Resources, Odisha Department of Agriculture",82602,,2021-12-10T00:00:00Z,6/30/2026 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P172187,0,"115,000,000","410,960,000",Active,L,Y,P4R,
17,P170590,South Asia,PE,Investment Project Financing,N,Active,West Bengal Electricity Distribution Grid Modernization Project,"135,000,000",INDIA,West Bengal State Electricity Distribution Company Limited,82602,639291,2021-11-29T00:00:00Z,11/30/2026 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P170590,0,"135,000,000","385,700,000",Active,L,Y,IPF,
18,P174732,South Asia,PE,Program-for-Results Financing,N,Active,Shimla-Himachal Pradesh Water Supply and Sewerage Services Improvement Program (PforR),"160,000,000",India,"Urban Development Department, Government of Himachal Pradesh, Shimla Jal Prabandhan Nigam Limited",82602,,2021-11-05T00:00:00Z,12/31/2026 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P174732,0,"160,000,000","560,000,000",Active,L,Y,P4R,
19,P175221,South Asia,PE,Program-for-Results Financing,N,Active,Chennai City Partnership: Sustainable Urban Services Program,"150,000,000",India,State of Tamil Nadu,82602,,2021-09-30T00:00:00Z,12/31/2026 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P175221,0,"150,000,000","2,159,000,000",Active,L,Y,P4R,"{'cdata!': 'The development objective of the Chennai City Partnership : Sustainable Urban Services Program-for-Results Project for India is to strengthen institutions and improve quality and financial sustainability of selected urban services in the Chennai Metropolitan Area (CMA). Government of Tamil Nadu (GoTN’s) new Chennai 2030 program (2021-2030) aims to accelerate Chennai’s transformation into a city that is green, livable, competitive, and resilient. The program is envisaged has a multi-phased program that will pool resources from government sources and development partners and also leverage the private sector for both finance and expertise. It builds on insights and experience gained from ongoing investments and initiatives in CMA, and especially the lesson that investments alone - especially, if they are uncoordinated - are insufficient to achieve transformation of the city. All program activities will be structured in the form of three pillars: (i) strengthening institutions; (ii) enhancing quality of urban services; and (iii) improving financial sustainability of service delivery.'}"
20,P173589,South Asia,PE,Investment Project Financing,N,Active,Meghalaya Health Systems Strengthening Project,"40,000,000",India,"Department of Health and Family Welfare, Government of Meghalaya",82602,639291,2021-09-30T00:00:00Z,3/31/2027 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P173589,0,"40,000,000","50,000,000",Active,L,Y,IPF,
21,P176447,South Asia,PE,Development Policy Lending,N,Closed,Creating a Coordinated and Responsive Indian Social Protection System (CCRISP),"500,000,000",India,"Department of Economic Affairs (DEA), Ministry of Finance",82602,639293,2021-06-29T00:00:00Z,12/31/2022 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P176447,"112,500,000","387,500,000","500,000,000",Closed,L,Y,DPL,"{'cdata!': 'The development objective of the Creating a Coordinated and Responsive Indian Social Protection System (CCRISP) Development Policy Operation in India is to strengthen the capability of the state and national governments in India to respond to the needs of informal workers through a resilient and coordinated social protection system. India’s social protection architecture stands at an important crossroad, poised to transform from a set of siloed schemes to a more coordinated and context-specific system. While India has multiple programs to provide support and the recent Pradhan Mantri Garib Kalyan Yojana (PMGKY) has been critical in this set-up, mission-mode expansion of coverage will require an overarching body which monitors, strategizes and guides how various innovations, centre and state agencies, schemes, staff and budgets will be coordinated to ensure adequate social protection coverage for the poor and vulnerable. Meeting the diverse needs of states requires an overhaul in India’s social protection financing and delivery architecture. This is critical to ensure centre and state consolidate delivery costs, avoid administrative duplication and respond to India’s diverse and changing risk profile. The development policy financing focusses on these key structural reforms through four pillars : (1) fostering deeper devolution to states to use resources for local needs/risks and disasters; (2) expanding the social protection net for underserved urban informal workers; (3) strengthening delivery of existing new initiatives through focus on improved methods for targeting and payments; and (4) climate action reforms to build adaptation and mitigation capacities for the most vulnerable.'}"
22,P174778,South Asia,PE,Program-for-Results Financing,N,Active,The Resilient Kerala Program,"125,000,000",India,Government of Kerala,82602,,2021-06-24T00:00:00Z,6/30/2026 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P174778,0,"125,000,000","2,231,650,000",Active,L,Y,P4R,"{'cdata!': 'The development objective of the Resilient Kerala Program Program-for-Results Project in India is to enhance Kerala’s resilience against the impacts of climate change and natural disasters, including disease outbreaks and pandemics.  The Program consists of the following activities: Area 1, strengthening transversal systems for resilience includes: (1.1) sustainable fiscal and debt management; (1.2) comprehensive disaster risk finance and social protection system; (1.3) risk-informed urban master plans for cities and towns; and (1.4) risk-informed local disaster risk management plans. Area 2, embedding resilience in key economic sectors includes: (2.1) resilient public health systems; (2.2) integrated and sustainable water resources management; (2.3) sustainable and resilient agriculture systems; (2.4) climate resilient road infrastructure.'}"
23,P173978,South Asia,PE,Program-for-Results Financing,N,Active,Supporting Andhra's Learning Transformation,"250,000,000",India,State of Andhra Pradesh,82602,,2021-06-17T00:00:00Z,12/31/2026 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P173978,0,"250,000,000","1,020,000,000",Active,L,Y,P4R,"{'cdata!': 'The development objective of the Supporting Andhras Learning Transformation (SALT) Operation - Program-for-Results Project for India is to improve learning outcomes, quality of teaching practices, and school management in basic education. The SALT program seeks to address this gap by focusing on three results areas (RA): RA-1 - strengthened foundational learning; RA-2 - improved quality of teaching-learning interactions; and RA-3 - strengthened institutional capacity and community engagement for service delivery.'}"
24,P172226,South Asia,PE,Program-for-Results Financing,N,Active,Raising and Accelerating MSME Performance,"500,000,000",India,"Ministry of Micro, Small and Medium Enterprises",82602,,2021-06-04T00:00:00Z,9/30/2026 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P172226,0,"500,000,000","4,208,000,000",Active,L,Y,P4R,"{'cdata!': 'The development objective of the Raising and Accelerating Micro, Small, and Medium Enterprise (MSME) Performance Program-for-Results Project for India is to strengthen MSME performance through sustainable and innovative market-based services at Central level and in selected states. The following results will be targeted under the program: RA 1: (i) improved MSME scheme delivery through enhanced Central Government (CG) level and CG-state coordination; (ii) enhanced Ministry of Micro, Small and Medium Enterprise (MoMSME) capacity to design, implement, and assess policies and programs; (iii) improved and inter-operable portals to deliver online cost-effective MSME services at scale; and (iv) a more decentralized, flexible, and cohesive state-led MSME program for improved outreach and results on the ground. RA 2: (i) improved quality, impact, and outreach of existing schemes in support of firm capabilities through further innovations; and strengthening markets for business services; (ii) improved access to finance for women entrepreneurs and greening investments; and (iii) improved access to finance and working capital of MSMEs through: (a) well-functioning digital factoring platforms; and (b) strengthened markets for online dispute resolution (ODR) and private sector provision of these services.'}"
25,P175827,South Asia,RE,Investment Project Financing,N,Active,FACILITATING SCHOOL TO WORK TRANSITION,0,Central Board of Secondary Education  (CBSE),Central Board of Secondary Education,82602,639291,2021-06-02T00:00:00Z,12/15/2023 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P175827,0,0,"2,000,000",Active,L,Y,IPF,
26,P173958,South Asia,PE,Investment Project Financing,N,Active,Mizoram Health Systems Strengthening Project,"32,000,000","India (Department of Economic Affairs, Government of India)","Health and Family Welfare Department, Government of Mizoram",82602,639291,2021-03-31T00:00:00Z,3/31/2026 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P173958,0,"32,000,000","40,000,000",Active,L,Y,IPF,
27,P170811,South Asia,PE,Investment Project Financing,N,Active,Punjab Municipal Services Improvement Project,"105,000,000",India,"Ludhiana Municipal Corporation, Amritsar Municipal Corporation, Punjab Municipal Infrastructure Development Company",82602,639291,2021-03-31T00:00:00Z,9/30/2026 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P170811,0,"105,000,000","300,000,000",Active,L,Y,IPF,
28,P173704,South Asia,PE,Program-for-Results Financing,N,Active,Gujarat Outcomes for Accelerated Learning (GOAL),"500,000,000",Ministry of Finance,"Education Department, Government of Gujarat",82602,,2021-03-24T00:00:00Z,9/30/2027 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P173704,0,"500,000,000","2,783,100,000",Active,L,Y,P4R,
29,P168633,South Asia,PE,Investment Project Financing,N,Active,Kerala Solid Waste Management Project,"105,000,000",India,"Local Self Government Department, Government of Kerala",82602,639291,2021-03-09T00:00:00Z,6/30/2027 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P168633,0,"105,000,000","300,000,000",Active,L,Y,IPF,"{'cdata!': 'The development objective of the Kerala Solid Waste Management Project for India is to strengthen the institutional and service delivery systems for solid waste management in Kerala. The project comprises of three components. The first component is institutional development, capacity building, and project management. It consists of following sub-components: (i) technical assistance (TA) to state agencies; (ii) TA to urban local body (ULBs); (iii) solid waste management (SWM) skilling, training and awareness generation, and information education communication (IEC) support; and (iv) project management support. The second component, grant support to ULBs for SWM will provide grants to the participating ULBs for the improvement of their SWM systems and capacities. The third component, development of regional SWM facilities will finance construction, rehabilitation, closure, remediation, and equipment (as the case may be) of facilities servicing more than one ULB.'}"
30,P172213,South Asia,PE,Investment Project Financing,N,Active,Nagaland: Enhancing Classroom Teaching and Resources,"68,000,000",India,Nagaland (Department of School Education),82602,639291,2020-12-15T00:00:00Z,6/30/2026 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P172213,0,"68,000,000","85,000,000",Active,L,Y,IPF,"{'cdata!': 'The development objective of Enhancing Classroom Teaching and Resources Project for Nagaland are to: (i) enhance the governance of schools across the state; and (ii) improve teaching practices and learning environments in selected school complexes. This project has three components. 1) The first component, Improving System and School Management, has the following sub-components: (i) Strengthening Education Management Information Systems (EMIS); (ii) Strengthening Digital Platforms on Learning and Teaching; (iii) Strengthening Governance and Building Capacity of Service Providers and Clients; and (iv) Strengthening School Leaving Certificate Examinations. 2) The second component, Enhancing the Teaching and Learning Environment, has the following sub-components: (i) Developing and Implementing a Strategy for Enhancing the Built Environments of School Complexes to Foster Learning; (ii) Strengthening Teaching - Learning Systems; (iii) Strengthening Continuous Professional Development of Teachers; and (iv) Enhancing Community Ownership and Accountability for Improved School Management. 3) The third component,  Technical Assistance (TA), has the following sub-components: (i) Project Implementation Support; (ii) Communication Strategy; (iii) Coronavirus (COVID-19) Coping and Continuity Support; and (iv) Contingent Emergency Response Component (CERC).'}"
31,P170873,South Asia,PE,Investment Project Financing,N,Active,Second Dam Rehabilitation and Improvement Project,"250,000,000","Ministry of Finance, Department of Economic Affairs","Uttarakhand Jal Vidyut Nigam Ltd., Kerala State Electricity Board (KSEB), Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO), Government of Gujarat, Water Resources Department, Government of Chhattisgarh, Water Resources Department, Government of Kerala, Water Resources Department, Government of West Bengal, Irrigation and Waterways Department, Government of Uttar Pradesh, Irrigation and Water Resources Department, Meghalaya Power Generation Corporation Ltd. (MePGCL), Government of Maharasthra, Water Resources Department, Government of Manipur, Water Resources Department, Central Water Commission (CWC), Ministry of Jal Shakti, Government of Rajasthan, Water Resources Department, Government of Odisha, Water Resources Department, Government of Tamil Nadu, Water Resources Department, Government of Madhya Pradesh, Water Resources Department, Government of Karnataka, Water Resources Department",82602,639291,2020-12-15T00:00:00Z,12/31/2027 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P170873,0,"250,000,000","713,410,000",Active,L,Y,IPF,"{'cdata!': 'The development objective of Second Dam Rehabilitation and Improvement Project is to increase the safety of selected dams in participating States and to strengthen dam safety management in India. This project has five components. 1) The first component, Rehabilitation and Management Planning for Dams and Associated Appurtenances, aims to reduce the likelihood and consequences of dam failure by improving dam safety planning, management and rehabilitation in selected dams through management, monitoring, and structural interventions. 2) The second component, Dam Safety Institutional Strengthening, aims to strengthen the capacities and institutional framework for dam owners, operators, agencies that have oversight of dam safety, and policy makers to identify and address dam safety risks. 3) The third component, Risk-informed Asset Management and Innovative Financing for Sustainable Operation and Maintenance of Dams, aims to increase the financing available for periodic dam safety needs and regular Operation and Maintenance (O&M) by improving asset management and dam risk assessment. 4) The fourth component, Project Management, aims to ensure effective implementation of project activities and monitoring and evaluation of project implementation progress, outputs and outcomes. 5) The fifth component, Contingent Emergency Response Component, allows provision of immediate response to an Eligible Crisis or Emergency, as needed.'}"
32,P170645,South Asia,PE,Investment Project Financing,N,Active,Chhattisgarh Inclusive Rural and Accelerated Agriculture Growth Project,"100,000,000",Ministry of Finance,"Chhattisgarh, Department of Agriculture Development and Farmer Welfare and Biotechnology",82602,639291,2020-12-15T00:00:00Z,7/31/2026 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P170645,0,"100,000,000","142,600,000",Active,L,Y,IPF,
33,P174027,South Asia,PE,Development Policy Lending,N,Closed,Second Accelerating India's COVID-19 Social Protection Response (PMGKY),"400,000,000",Republic of India,Ministry of Finance Department of Economic Affairs,82602,639293,2020-12-15T00:00:00Z,12/31/2022 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P174027,"400,000,000",0,"400,000,000",Closed,L,Y,DPL,"{'cdata!': ""The development objective of the Second Accelerating India's COVID-19 Social Protection Response (PMGKY) Development Policy Operation in India is to strengthen the capability of state and national governments in India to provide coordinated and adequate social protection to the poor and vulnerable from the impacts of the COVID-19 pandemic. The program also ensures an adequate package of social protection, meaning that the size of the benefits transferred should compensate for losses in consumption expenditures and prevent households from falling below the poverty line. The program accelerates the delivery of social assistance at the state and national level through three pillars: (i) accelerating the provision of adequate social protection for the poor and vulnerable by scaling up cash/in-kind assistance through pre-existing national platforms and programs (safety nets, e-payments architecture, self-help groups and disaster management protocols); (ii) providing robust social protection for essential workers involved in COVID-19 relief efforts; and (iii) ensuring vulnerable groups have access to PMGKY benefits through reform measures aimed at expanding points of last-mile delivery. The third pillar is critical to ensure migrants and informal workers - at risk of exclusion - can avail of social protection at this time of crisis. A fourth pillar supports important climate actions through national development policy operations.""}"
34,P166020,South Asia,PE,Investment Project Financing,N,Active,"West Bengal Inland Water Transport, Logistics and Spatial Development Project","105,000,000",Republic of India,Government of West Bengal,82602,639291,2020-11-30T00:00:00Z,3/31/2026 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P166020,0,"105,000,000","150,000,000",Active,L,Y,IPF,
35,P168097,South Asia,PE,Investment Project Financing,N,Active,Meghalaya Integrated Transport Project,"120,000,000",Republic of India,Meghalaya Infrastructure Development Finance Corporation,82602,639291,2020-10-23T00:00:00Z,10/31/2026 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P168097,0,"120,000,000","150,000,000",Active,L,Y,IPF,"{'cdata!': 'The objective of the Meghalaya Integrated Transport Project for India is to improve transport connectivity and efficiency in project districts and to modernize transport sector management in Meghalaya. The project has four components. (1) Effective delivery and maintenance of transport infrastructure component will provision of civil works to: (i) fill critical infrastructure gaps in the Integrated Transport Network Development Plan (“ITNDP”) demonstrating use of innovative, climate-informed, safe, and nature-based solutions; (ii) reduce urban congestion; and (iii) introduce effective delivery of maintenance. (2) Asset Management, Institutional Effectiveness, and Transport Services component will  provision of technical assistance to implement the Transport Sector Modernization Plan (TSMP) to build on and carry forward the ongoing initiatives in asset management, investment effectiveness, institutional effectiveness, urban mobility, transport services and road safety management. (3) Project Management and Implementation component will support project preparation, engineering supervision, Project management including equipment, and refurbishing of office infrastructure. (4) Contingent Emergency Response Component (CERC) will provision of immediate response to an Eligible Crisis or Emergency, as needed.'}"
36,P174292,South Asia,PE,Development Policy Lending,N,Closed,"MICRO, SMALL AND MEDIUM ENTERPRISES EMERGENCY RESPONSE","750,000,000",Republic of India,"Department of Financial Services, Ministry of Finance",82602,639293,2020-06-30T00:00:00Z,6/30/2021 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P174292,0,"750,000,000","750,000,000",Closed,L,Y,DPL,"{'cdata!': 'The development objective of Micro, Small and Medium Enterprises (MSME) Emergency Response Development Policy Loan (DPL) is to support the government of India (GoI) in preserving flows of finance to MSMEs through the Coronavirus (COVID-19) crisis and lay the foundations for a stronger MSME financing ecosystem in the recovery phase. This operation draws on the GoI’s recent Coronavirus (COVID-19) emergency response for MSMEs, the RBI’s various liquidity initiatives to shore up MSMEs and financial sector financing, and recommendations from the RBI MSME Committee Report of 2019. The DPF also considers experiences of various credit guarantee schemes (CGS) which have been leveraged across the globe to mobilize financing options for MSMEs during a downward economic cycle when risk aversion heightens, and financial institutions scale back credit to private sector. The DPF also considers experiences from the previous crises episodes which suggest that, to reduce misallocation of public resources during the crisis, the response programs should focus on supporting firms and financial intermediaries which have had long-term viable business models prior to the crisis. Other relevant measures taken by the government and its agencies recently to deal with the adverse impact of the Coronavirus(COVID-19) crisis are also taken into account.  The project will have three pillars: (i) Channeling financing flows to MSMEs, (ii) Strengthening Non-Banking Financial Company (NBFCs); and (iii) Incentivizing the use of Fintech and digital channels in MSME lending and payments.'}"
37,P169111,South Asia,PE,Investment Project Financing,N,Active,Second National Ganga River Basin Project,"381,000,000",India,"National Mission for Clean Ganga, Ministry of Jal Shakti",82602,639291,2020-06-25T00:00:00Z,12/31/2026 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P169111,0,"381,000,000","1,118,950,000",Active,L,Y,IPF,"{'cdata!': 'The objective of the Second National Ganga River Basin Project for India is to reduce point-source pollution from targeted Urban Areas of the Ganga river basin and support the Central Ministry to strengthen the institutional framework for Ganga river basin management. The Project has five components. 1. Institutional Development component has four subcomponents. 1.1. Strengthening of the institutional framework for Ganga basin management subcomponent will provide technical and analytical support for the carrying out of a comprehensive analysis of: (a) the functions and mandates of institutions involved with aspects of Ganga river basin management; (b) the relevant laws and regulations; and (c) possible options for NMCG to operationalize its mandate, all taking into account climate change and gender gaps; 1.2. Development and application of tools to monitor and inform decision-making for river basin management subcomponent provides technical and analytical support for: (a) establishing critical tools to improve river basin management and inform decision-making; (b) carrying out a detailed evidence-based, participatory investigation of environmental flow options, for all river reaches across the Ganga basin where substantial flow regime modification has occurred; and (c) strengthening institutional capacity to collate, manage and share data and information on the Ganga basin, including gender disaggregated data, and to implement strategic communications and outreach. 1.3. Support to strengthen Project States governments’ and Urban Local Bodies’ (ULBs’) capacity for wastewater service delivery and river management subcomponent will focus on: (a) Strengthening the capacity of selected States in studying possible options, roles and responsibility sharing between the parastatal Executing Agency (EA) and participating ULBs for Operations and Maintenance (O and M) arrangements of wastewater service delivery with the aim of ensuring long-term sustainability of service delivery; 1.4. Namami Gange Program emergency response preparedness subcomponent will provide technical and analytical support for: the development of: (a) emergency preparedness plans and individual investment levels to respond to an emergency related to a health-crisis of natural disaster; and (b) a set of principles and recommendation to increase resilience of investments implemented under the Namami Gange Program. 2. Infrastructure Development component has four subcomponents. 2.1. Carrying out of Priority Investments selected on the basis of their level of pollution of selected tributaries of the Ganga; 2.2. Carrying out of Priority Investments selected on the basis of their status of implementation and need for further financing; 2.3. Improving investment resilience to COVID-19-like emergency crises; 2.4. Carrying out of Priority Investments selected on the basis of performance-based incentives for ULBs involving measures taken for pollution source prioritization and their performance in strengthening planning, management, and cost recovery of wastewater service delivery to promote holistic approaches at city level. 3. International Bank for Reconstruction and Development (IBRD) Guarantees component guarantees that the aggregate amount will be structured as contract-based payment guarantees to backstop certain payment obligations of the NMCG under three HAM-PPP contracts being financed under Sub-component 2.1. 4. Program Communication and Management component has two subcomponents. 4.1. Program Communication and Outreach subcomponent will focus on developing and carrying out mass media and public outreach campaigns targeting different stakeholders to promote the adoption of behaviors related to achieving and sustaining a clean Ganga. 4.2. Program Management Support subcomponent will focus on supporting management and coordination for the Namami Gange Program and the Project.'}"
38,P174312,South Asia,GU,Investment Project Financing,N,Active,Second National Ganga River Basin Guarantee,"19,000,000",,,82602,639291,2020-06-25T00:00:00Z,12/31/2026 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P174312,0,"19,000,000","1,118,000,000",Active,L,Y,IPF,
